ric,status,rows,error
AAPLG172631250.U^G26,observed,40,
AAPLG172631500.U^G26,observed,40,
AAPLG172631750.U^G26,observed,40,
AAPLG172632000.U^G26,observed,40,
AAPLG172632250.U^G26,observed,40,
AAPLG172632500.U^G26,observed,40,
AAPLG172632750.U^G26,observed,39,
AAPLG172633000.U^G26,observed,40,
AAPLG172633250.U^G26,observed,40,
AAPLG242632000.U^G26,observed,40,
AAPLG242632250.U^G26,observed,40,
AAPLG242632500.U^G26,observed,40,
AAPLG242632750.U^G26,observed,40,
AAPLG242633000.U^G26,observed,40,
AAPLG242633250.U^G26,observed,40,
AAPLG242633500.U^G26,observed,40,
AAPLG242633750.U^G26,observed,39,
AAPLG242634000.U^G26,observed,40,
AAPLG312633250.U^G26,observed,40,
AAPLG312633500.U^G26,observed,40,
AAPLG312633750.U^G26,observed,40,
AAPLG312634000.U^G26,observed,39,
AAPLG312634250.U^G26,observed,39,
AAPLG312634500.U^G26,observed,40,
AAPLG312634750.U^G26,observed,40,
AAPLG312635000.U^G26,observed,39,
AAPLG312635250.U^G26,observed,40,
AAPLH72630000.U^H26,error,0,"Error code 1 | No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90001, AAPLH72630000)"
AAPLH72630250.U^H26,error,0,"Error code 1 | No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90001, AAPLH72630250)"
AAPLH72630500.U^H26,error,0,"Error code 1 | No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90001, AAPLH72630500)"
AAPLH72630750.U^H26,error,0,"Error code 1 | No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90001, AAPLH72630750)"
AAPLH72631000.U^H26,error,0,"Error code 1 | No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90001, AAPLH72631000)"
AAPLH72631250.U^H26,error,0,"Error code 1 | No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90001, AAPLH72631250)"
